"Date","Open","High","Low","Close","Pre_Settle","Settle","Volume","Open_Interest","Turnover","Contract"
"2009-01-19",5310.0,5310.0,5310.0,5310.0,5320.0,5310.0,120.0,40.0,6372.0,"F2010"
"2009-01-20",5300.0,5300.0,5280.0,5280.0,5310.0,5290.0,80.0,40.0,4232.0,"F2010"
"2009-01-21",5280.0,5280.0,5278.0,5278.0,5290.0,5278.0,80.0,40.0,4223.2,"F2010"
"2009-01-22",5280.0,5282.0,5280.0,5282.0,5278.0,5280.0,80.0,40.0,4224.8,"F2010"
"2009-01-23",5230.0,5230.0,5230.0,5230.0,5280.0,5230.0,80.0,40.0,4184.0,"F2010"
"2009-02-02",5160.0,5170.0,5160.0,5170.0,5230.0,5164.0,80.0,40.0,4132.0,"F2010"
"2009-02-03",5170.0,5180.0,5170.0,5180.0,5164.0,5174.0,80.0,40.0,4140.0,"F2010"
"2009-02-04",5280.0,5280.0,5280.0,5280.0,5174.0,5280.0,80.0,40.0,4224.0,"F2010"
"2009-02-05",5260.0,5270.0,5260.0,5270.0,5280.0,5264.0,80.0,40.0,4212.0,"F2010"
"2009-02-06",5280.0,5280.0,5280.0,5280.0,5264.0,5280.0,80.0,40.0,4224.0,"F2010"
"2009-02-09",5544.0,5544.0,5544.0,5544.0,5280.0,5544.0,2.0,42.0,110.88,"F2010"
"2009-02-10",5600.0,5600.0,5580.0,5580.0,5544.0,5580.0,82.0,42.0,4576.0,"F2010"
"2009-02-11",5520.0,5520.0,5420.0,5420.0,5580.0,5516.0,82.0,44.0,4524.4,"F2010"
"2009-02-12",5340.0,5340.0,5340.0,5340.0,5516.0,5340.0,80.0,44.0,4272.0,"F2010"
"2009-02-13",5488.0,5488.0,5448.0,5450.0,5340.0,5470.0,24.0,66.0,1313.2,"F2010"
"2009-02-16",5400.0,5550.0,5400.0,5550.0,5470.0,5466.0,88.0,68.0,4811.32,"F2010"
"2009-02-17",5430.0,5560.0,5402.0,5402.0,5466.0,5460.0,90.0,72.0,4914.64,"F2010"
"2009-02-18",5190.0,5230.0,5188.0,5192.0,5460.0,5200.0,24.0,86.0,1248.0,"F2010"
"2009-02-19",5250.0,5250.0,5050.0,5100.0,5200.0,5130.0,14.0,88.0,718.2,"F2010"
"2009-02-20",5200.0,5200.0,5020.0,5180.0,5130.0,5182.0,88.0,90.0,4561.2,"F2010"
"2009-02-23",5246.0,5246.0,5150.0,5180.0,5182.0,5190.0,86.0,92.0,4464.84,"F2010"
"2009-02-24",5060.0,5100.0,5050.0,5050.0,5190.0,5074.0,82.0,92.0,4161.2,"F2010"
"2009-02-25",5200.0,5200.0,5140.0,5140.0,5074.0,5170.0,4.0,94.0,206.8,"F2010"
"2009-02-26",5240.0,5268.0,5240.0,5242.0,5170.0,5246.0,22.0,108.0,1154.48,"F2010"
"2009-02-27",5118.0,5158.0,5118.0,5158.0,5246.0,5138.0,4.0,112.0,205.52,"F2010"
"2009-03-02",5150.0,5150.0,4904.0,5110.0,5138.0,5118.0,32.0,116.0,1637.92,"F2010"
"2009-03-03",5098.0,5098.0,5016.0,5036.0,5118.0,5040.0,16.0,126.0,806.6,"F2010"
"2009-03-04",5030.0,5078.0,5030.0,5078.0,5040.0,5060.0,6.0,128.0,303.68,"F2010"
"2009-03-05",5124.0,5148.0,5050.0,5050.0,5060.0,5080.0,14.0,130.0,711.2,"F2010"
"2009-03-06",5030.0,5094.0,5030.0,5094.0,5080.0,5058.0,22.0,142.0,1112.88,"F2010"
"2009-03-09",5200.0,5218.0,5162.0,5170.0,5058.0,5180.0,38.0,168.0,1968.4,"F2010"
"2009-03-10",5160.0,5278.0,5160.0,5230.0,5180.0,5222.0,84.0,222.0,4387.68,"F2010"
"2009-03-11",5244.0,5254.0,5166.0,5166.0,5222.0,5200.0,64.0,240.0,3328.8,"F2010"
"2009-03-12",5118.0,5138.0,5090.0,5120.0,5200.0,5116.0,78.0,252.0,3991.48,"F2010"
"2009-03-13",5176.0,5176.0,5098.0,5098.0,5116.0,5130.0,30.0,266.0,1539.12,"F2010"
"2009-03-16",5128.0,5142.0,5088.0,5142.0,5130.0,5114.0,62.0,296.0,3170.76,"F2010"
"2009-03-17",5160.0,5188.0,5158.0,5172.0,5114.0,5170.0,60.0,302.0,3102.48,"F2010"
"2009-03-18",5172.0,5210.0,5172.0,5210.0,5170.0,5188.0,36.0,300.0,1867.72,"F2010"
"2009-03-19",5248.0,5260.0,5188.0,5258.0,5188.0,5234.0,86.0,316.0,4501.88,"F2010"
"2009-03-20",5300.0,5342.0,5280.0,5320.0,5234.0,5320.0,74.0,320.0,3937.96,"F2010"
"2009-03-23",5398.0,5558.0,5350.0,5510.0,5320.0,5470.0,126.0,350.0,6892.4,"F2010"
"2009-03-24",5490.0,5490.0,5388.0,5400.0,5470.0,5430.0,86.0,348.0,4670.68,"F2010"
"2009-03-25",5434.0,5434.0,5330.0,5354.0,5430.0,5384.0,174.0,448.0,9368.8,"F2010"
"2009-03-26",5380.0,5460.0,5380.0,5460.0,5384.0,5434.0,138.0,384.0,7500.48,"F2010"
"2009-03-27",5442.0,5544.0,5362.0,5398.0,5434.0,5472.0,74.0,390.0,4050.28,"F2010"
"2009-03-30",5388.0,5420.0,5348.0,5360.0,5472.0,5374.0,38.0,388.0,2042.64,"F2010"
"2009-03-31",5382.0,5428.0,5374.0,5390.0,5374.0,5402.0,92.0,378.0,4970.8,"F2010"
"2009-04-01",5438.0,5536.0,5430.0,5482.0,5402.0,5470.0,274.0,476.0,14990.56,"F2010"
"2009-04-02",5546.0,5560.0,5514.0,5550.0,5470.0,5532.0,164.0,532.0,9075.68,"F2010"
"2009-04-03",5598.0,5688.0,5580.0,5590.0,5532.0,5608.0,214.0,548.0,12003.8,"F2010"
"2009-04-07",5600.0,5748.0,5600.0,5736.0,5608.0,5680.0,232.0,552.0,13178.2,"F2010"
"2009-04-08",5690.0,5708.0,5586.0,5586.0,5680.0,5640.0,276.0,636.0,15571.48,"F2010"
"2009-04-09",5680.0,5732.0,5656.0,5722.0,5640.0,5696.0,272.0,660.0,15496.44,"F2010"
"2009-04-10",5756.0,5876.0,5756.0,5862.0,5696.0,5814.0,500.0,642.0,29073.64,"F2010"
"2009-04-13",5826.0,6104.0,5826.0,5990.0,5814.0,5944.0,2808.0,1588.0,166924.76,"F2010"
"2009-04-14",6022.0,6080.0,5976.0,6030.0,5944.0,6046.0,6024.0,4062.0,364251.52,"F2010"
"2009-04-15",6144.0,6238.0,6120.0,6210.0,6046.0,6200.0,7604.0,6426.0,471528.76,"F2010"
"2009-04-16",6170.0,6246.0,6150.0,6180.0,6200.0,6188.0,3504.0,7248.0,216877.2,"F2010"
"2009-04-17",6130.0,6172.0,6040.0,6144.0,6188.0,6106.0,2722.0,7962.0,166247.4,"F2010"
"2009-04-20",6150.0,6170.0,6040.0,6060.0,6106.0,6118.0,7390.0,10548.0,452257.4,"F2010"
"2009-04-21",5952.0,5952.0,5814.0,5814.0,6118.0,5842.0,8130.0,13262.0,474986.8,"F2010"
"2009-04-22",5930.0,6060.0,5870.0,5906.0,5842.0,5990.0,11188.0,15812.0,670354.44,"F2010"
"2009-04-23",5930.0,5982.0,5888.0,5968.0,5990.0,5934.0,7988.0,16644.0,474021.84,"F2010"
"2009-04-24",5980.0,6076.0,5876.0,5876.0,5934.0,5996.0,7660.0,16822.0,459324.16,"F2010"
"2009-04-27",5838.0,5880.0,5698.0,5698.0,5996.0,5742.0,7554.0,17512.0,433781.24,"F2010"
"2009-04-28",5768.0,5790.0,5710.0,5758.0,5742.0,5752.0,5842.0,17634.0,336144.0,"F2010"
"2009-04-29",5760.0,5886.0,5730.0,5884.0,5752.0,5784.0,8174.0,17804.0,472930.08,"F2010"
"2009-04-30",5936.0,6038.0,5936.0,6018.0,5784.0,5988.0,7050.0,18236.0,422216.24,"F2010"
"2009-05-04",6286.0,6286.0,6266.0,6286.0,5988.0,6282.0,1230.0,18372.0,77289.16,"F2010"
"2009-05-05",6300.0,6428.0,6286.0,6310.0,6282.0,6358.0,24028.0,24316.0,1.527952e6,"F2010"
"2009-05-06",6300.0,6468.0,6264.0,6462.0,6358.0,6382.0,14722.0,25186.0,939587.48,"F2010"
"2009-05-07",6498.0,6574.0,6436.0,6440.0,6382.0,6524.0,20418.0,28630.0,1.33228428e6,"F2010"
"2009-05-08",6478.0,6502.0,6360.0,6490.0,6524.0,6426.0,16528.0,32672.0,1.0621884e6,"F2010"
"2009-05-11",6430.0,6458.0,6262.0,6302.0,6426.0,6332.0,14192.0,33832.0,898873.04,"F2010"
"2009-05-12",6358.0,6532.0,6346.0,6522.0,6332.0,6440.0,19054.0,35994.0,1.2272018e6,"F2010"
"2009-05-13",6658.0,6658.0,6490.0,6572.0,6440.0,6562.0,17894.0,39386.0,1.17425936e6,"F2010"
"2009-05-14",6432.0,6448.0,6388.0,6396.0,6562.0,6410.0,14714.0,37964.0,943450.0,"F2010"
"2009-05-15",6450.0,6510.0,6386.0,6402.0,6410.0,6448.0,13900.0,37420.0,896542.96,"F2010"
"2009-05-18",6200.0,6220.0,6126.0,6146.0,6448.0,6150.0,13068.0,39734.0,803778.16,"F2010"
"2009-05-19",6220.0,6358.0,6210.0,6350.0,6150.0,6282.0,19302.0,41594.0,1.21291996e6,"F2010"
"2009-05-20",6300.0,6396.0,6294.0,6324.0,6282.0,6346.0,23780.0,43984.0,1.50940416e6,"F2010"
"2009-05-21",6350.0,6404.0,6300.0,6310.0,6346.0,6356.0,25440.0,46448.0,1.61725884e6,"F2010"
"2009-05-22",6340.0,6410.0,6312.0,6354.0,6356.0,6362.0,25548.0,45126.0,1.6256768e6,"F2010"
"2009-05-25",6376.0,6440.0,6314.0,6426.0,6362.0,6382.0,45054.0,46068.0,2.87574156e6,"F2010"
"2009-05-26",6426.0,6440.0,6288.0,6288.0,6382.0,6368.0,81550.0,47110.0,5.19349212e6,"F2010"
"2009-05-27",6342.0,6360.0,6284.0,6310.0,6368.0,6314.0,63144.0,44846.0,3.9876596e6,"F2010"
"2009-06-01",6500.0,6710.0,6468.0,6652.0,6314.0,6586.0,95928.0,43328.0,6.3185318e6,"F2010"
"2009-06-02",6710.0,6756.0,6660.0,6682.0,6586.0,6702.0,186298.0,53414.0,1.24864758e7,"F2010"
"2009-06-03",6728.0,6728.0,6644.0,6694.0,6702.0,6682.0,127486.0,57488.0,8.52011928e6,"F2010"
"2009-06-04",6500.0,6572.0,6450.0,6558.0,6682.0,6538.0,116088.0,56620.0,7.59079636e6,"F2010"
"2009-06-05",6666.0,6734.0,6634.0,6640.0,6538.0,6684.0,92456.0,59324.0,6.18092668e6,"F2010"
"2009-06-08",6600.0,6618.0,6504.0,6520.0,6684.0,6570.0,116614.0,70710.0,7.66218732e6,"F2010"
"2009-06-09",6566.0,6578.0,6474.0,6540.0,6570.0,6520.0,187448.0,69550.0,1.222366196e7,"F2010"
